id,nazov_piva,pivovar,mesto,kraj,hodnotenie,sezonnost,skupina_piv,styl,stupnovitost,alkohol_percento,horkost_IBU,pivovar_matched,pivovar_original,pivovar_id_1,pivovar_id_2
111,Stout,Minipivovar Bahno,Pardubice,Pardubický kraj,4,Neuvedené,Neuvedené,Stout,13,NULL,Neuvedené,Minipivovar Bahno,Minipivovar Bahno,356,NULL
112,Weizen,Minipivovar Bahno,Pardubice,Pardubický kraj,4.5,Neuvedené,Neuvedené,German Hefeweizen,12,4.800000190734863,Neuvedené,Minipivovar Bahno,Minipivovar Bahno,356,NULL
113,Weizen tmavý,Minipivovar Bahno,Pardubice,Pardubický kraj,5,Neuvedené,Neuvedené,Dunkelweizen,12,5,Neuvedené,Minipivovar Bahno,Minipivovar Bahno,356,NULL
114,11° světlá,Bakalář,Rakovník,Středočeský kraj,5.800000190734863,Neuvedené,Neuvedené,světlý ležák,10,4.5,Neuvedené,Bakalář,Bakalář,547,NULL
115,14° Rakovar 560,Bakalář,Rakovník,Středočeský kraj,5.5,Neuvedené,Neuvedené,světlý speciál,14,NULL,Neuvedené,Bakalář,Bakalář,547,NULL
116,medový speciál,Bakalář,Rakovník,Středočeský kraj,5,Neuvedené,medové pivo ( ochucené pivo ),polotmavý speciál,14,5.800000190734863,23,Bakalář,Bakalář,547,NULL
117,Nealkoholický za studena chmelený,Bakalář,Rakovník,Středočeský kraj,3.5,Neuvedené,Neuvedené,nealko ležák ( nealkoholické pivo ),NULL,0.5,Neuvedené,Bakalář,Bakalář,547,NULL
118,polotmavé 11°,Bakalář,Rakovník,Středočeský kraj,6.5,Neuvedené,Neuvedené,polotmavý ležák,11,4.5,Neuvedené,Bakalář,Bakalář,547,NULL
119,polotmavé výčepní,Bakalář,Rakovník,Středočeský kraj,5.800000190734863,Neuvedené,Neuvedené,polotmavé výčepní,NULL,4.199999809265137,24,Bakalář,Bakalář,547,NULL
120,světlé výčepní,Bakalář,Rakovník,Středočeský kraj,5.400000095367432,Neuvedené,Neuvedené,světlé výčepní Bohemian Pilsner ( Pilsner ),10,3.5999999046325684,Neuvedené,Bakalář,Bakalář,547,NULL
121,světlý ležák,Bakalář,Rakovník,Středočeský kraj,6,Neuvedené,Neuvedené,světlý ležák,NULL,4.900000095367432,Neuvedené,Bakalář,Bakalář,547,NULL
122,světlý ležák nefiltrovaný,Bakalář,Rakovník,Středočeský kraj,4,Neuvedené,Neuvedené,světlý ležák,12,4.900000095367432,Neuvedené,Bakalář,Bakalář,547,NULL
123,tmavé výčepní,Bakalář,Rakovník,Středočeský kraj,5.199999809265137,Neuvedené,Neuvedené,tmavé výčepní,NULL,3.799999952316284,Neuvedené,Bakalář,Bakalář,547,NULL
124,za studena chmelený,Bakalář,Rakovník,Středočeský kraj,6.099999904632568,Neuvedené,Neuvedené,světlý ležák,12,5.199999809265137,33,Bakalář,Bakalář,547,NULL
125,za studena chmelený z čerstvého chmele,Bakalář,Rakovník,Středočeský kraj,6,Neuvedené,wet hop,světlý ležák,12,5.199999809265137,Neuvedené,Bakalář,Bakalář,547,NULL
126,Bambus Lemur IPA,Pivovarský dům Benedict,Praha,Hlavní město Praha,5,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",13,5.699999809265137,49,Pivovarský dům Benedict,Pivovarský dům Benedict,492,NULL
127,India Pale Ale 14°,Baraba,Český Těšín,Moravskoslezský kraj,5.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),14,6,40,Baraba,Baraba,232,NULL
