id,nazov_piva,pivovar,pivovar_id_1,pivovar_id_2,sezonnost,skupina_piv,styl,kategoria1,kategoria2,kategoria3,podkategoria
160,Hop Factor Tropical IPA,Beer Factory,374,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
161,IPA 16°,Beer Factory,374,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
162,Juicy Amarillo,Beer Factory,374,NULL,Neuvedené,single hop,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
163,Juicy Bravo,Beer Factory,374,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
164,Juicy Eldorádo,Beer Factory,374,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
165,Juicy Idaho 7,Beer Factory,374,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
166,Juicy Mosaic,Beer Factory,374,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
167,Juicy Sabro,Beer Factory,374,NULL,Neuvedené,single hop,"New England IPA ( India Pale Ale , Ale ) Pale Ale ( Ale )",Ale,NULL,NULL,IPA
168,Nevada Ale 11°,Beer Factory,374,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
169,New England IPA Citra + Sabro,Beer Factory,374,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
170,Porter,Beer Factory,374,NULL,Neuvedené,Neuvedené,Porter,Ale,Dark,NULL,Porter
171,Porter Robust-a,Beer Factory,374,NULL,Neuvedené,kávové pivo ( ochucené pivo ),Porter,Ale,Dark,NULL,Porter
172,pšeničné pivo Weissbier,Beer Factory,374,NULL,Neuvedené,Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
173,pšeničné pivo Witbier,Beer Factory,374,NULL,Neuvedené,Neuvedené,Belgian Witbier,Ale,Wheat,NULL,"Belgian, Witbier"
174,Stout,Beer Factory,374,NULL,Neuvedené,Neuvedené,Stout,Ale,Dark,NULL,Stout
